ID	Title	Text	Source	RecipeType
1	Roasted Peppers, Spinach & Feta Pizza	"Roasted Peppers, Spinach & Feta Pizza. Roasted Peppers, Spinach & Feta Pizzan is a <b>lacto ovo vegetarian</b> main course. This recipe makes 1 servings with <b>390 calories</b>, <b>18g of protein</b>, and <b>17g of fat</b> each. For <b>$3.87 per serving</b>, this recipe <b>covers 34%</b> of your daily requirements of vitamins and minerals. 1 person were impressed by this recipe. Head to the store and pick up bell pepper, flatout flatbread, tomato, and a few other things to make it today. It is brought to you by Foodista. Only a few people really liked this Mediterranean dish. From preparation to the plate, this recipe takes around <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 83%</b>. This score is super. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/spinach-and-feta-chicken-burgers-aka-spanakopita-burgers-with-grilled-halloumi-roasted-red-peppers-and-a-spinach-and-feta-sauce-611532"">Spinach and Feta Chicken Burgers (aka Spanakopita Burgers) with Grilled Halloumi, Roasted Red Peppers and a Spinach and Feta Sauce</a>, <a href=""https://spoonacular.com/recipes/spinach-and-feta-chicken-burgers-aka-spanakopita-burgers-with-grilled-halloumi-roasted-red-peppers-and-a-spinach-and-feta-sauce-1238573"">Spinach and Feta Chicken Burgers (aka Spanakopita Burgers) with Grilled Halloumi, Roasted Red Peppers and a Spinach and Feta Sauce</a>, and <a href=""https://spoonacular.com/recipes/spinach-and-feta-chicken-burgers-aka-spanakopita-burgers-with-grilled-halloumi-roasted-red-peppers-and-a-spinach-and-feta-sauce-1195743"">Spinach and Feta Chicken Burgers (aka Spanakopita Burgers) with Grilled Halloumi, Roasted Red Peppers and a Spinach and Feta Sauce</a>."	http://www.foodista.com/recipe/LWCPWJ2L/roasted-peppers-spinach-feta-pizza	Vegetarian
2	Rustic Grilled Peaches Pizza	"Rustic Grilled Peaches Pizza. The recipe Rustic Grilled Peaches Pizza can be made <b>in around 45 minutes</b>. One portion of this dish contains roughly <b>10g of protein</b>, <b>10g of fat</b>, and a total of <b>226 calories</b>. For <b>$1.32 per serving</b>, this recipe <b>covers 11%</b> of your daily requirements of vitamins and minerals. This recipe serves 4. It works well as a reasonably priced hor d'oeuvre. It can be enjoyed any time, but it is especially good for <b>The Fourth Of July</b>. 2 people have tried and liked this recipe. It is brought to you by Foodista. Only a few people really liked this Mediterranean dish. If you have uncook pizza crust, peach, sage, and a few other ingredients on hand, you can make it. With a spoonacular <b>score of 50%</b>, this dish is good. <a href=""https://spoonacular.com/recipes/blue-cheese-pancetta-pizza-with-grilled-peaches-1092545"">Blue cheese & pancetta pizza with grilled peaches</a>, <a href=""https://spoonacular.com/recipes/fresh-peaches-and-cream-rustic-pie-330976"">Fresh Peaches and Cream Rustic Pie</a>, and <a href=""https://spoonacular.com/recipes/grilled-peaches-peaches-and-cream-popsicles-495584"">Grilled Peaches + Peaches and Cream Popsicles</a> are very similar to this recipe."	http://www.foodista.com/recipe/PRMSG6W5/rustic-grilled-peaches-pizza	Non-Vegetarian
3	Pizza bites with pumpkin	"Pizza bites with pumpkin. Pizza bites with pumpkin might be just the hor d'oeuvre you are searching for. Watching your figure? This gluten free, lacto ovo vegetarian, and primal recipe has <b>309 calories</b>, <b>16g of protein</b>, and <b>22g of fat</b> per serving. This recipe serves 4 and costs $1.95 per serving. 9 people were glad they tried this recipe. Head to the store and pick up eggs, olive oil, mozzarella, and a few other things to make it today. From preparation to the plate, this recipe takes about <b>45 minutes</b>. It is an <b>affordable</b> recipe for fans of Mediterranean food. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 67%</b>, which is solid. <a href=""https://spoonacular.com/recipes/pizza-bites-89274"">Pizza Bites</a>, <a href=""https://spoonacular.com/recipes/pizza-bites-568070"">Pizza Bites</a>, and <a href=""https://spoonacular.com/recipes/pizza-bites-1765979"">Pizza Bites</a> are very similar to this recipe."	https://www.foodista.com/recipe/SHKG55X4/pizza-bites-with-pumpkin	Vegetarian
4	BLT Pizza	"BLT Pizza. Forget going out to eat or ordering takeout every time you crave Mediterranean food. Try making BLT Pizzan at home. This recipe makes 3 servings with <b>628 calories</b>, <b>26g of protein</b>, and <b>26g of fat</b> each. For <b>$2.81 per serving</b>, this recipe <b>covers 14%</b> of your daily requirements of vitamins and minerals. 1 person were impressed by this recipe. It works well as a budget friendly main course. This recipe from Pink When requires colby jack cheese, turkey bacon, garlic powder, and lettuce. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. Taking all factors into account, this recipe <b>earns a spoonacular score of 38%</b>, which is not so super. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/blt-pizza-471280"">BLT Pizza</a>, <a href=""https://spoonacular.com/recipes/blt-pizza-99404"">BLT Pizza</a>, and <a href=""https://spoonacular.com/recipes/blt-pizza-409946"">BLT Pizza</a>."	https://www.pinkwhen.com/blt-pizza/	Non-Vegetarian
5	Plantain Pizza	"Plantain Pizza. Plantain Pizzan is a Mediterranean main course. One serving contains <b>657 calories</b>, <b>27g of protein</b>, and <b>23g of fat</b>. This dairy free recipe serves 3 and costs <b>$1.47 per serving</b>. 95 people were impressed by this recipe. It is brought to you by Afrolems. If you have tomato), bell pepper, bell peppers, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes about <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 91%</b>. This score is outstanding. Similar recipes include <a href=""https://spoonacular.com/recipes/how-to-spiralize-a-plantain-plantain-rice-and-beans-563745"">How to Spiralize a Plantain & Plantain “Rice” and Beans</a>, <a href=""https://spoonacular.com/recipes/plantain-chips-150821"">Plantain Chips</a>, and <a href=""https://spoonacular.com/recipes/plantain-fritters-316444"">Plantain Fritters</a>."	https://www.afrolems.com/2014/03/08/plantain-pizza/	Non-Vegetarian
6	Zucchini Pizza Boats	"Zucchini Pizza Boats. Zucchini Pizza Boats is a Mediterranean recipe that serves 6. One serving contains <b>364 calories</b>, <b>18g of protein</b>, and <b>27g of fat</b>. For <b>$2.08 per serving</b>, this recipe <b>covers 16%</b> of your daily requirements of vitamins and minerals. 1 person were glad they tried this recipe. This recipe from Foodista requires basil, olive oil, parmesan cheese, and mozzarella cheese. Not a lot of people really liked this main course. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. With a spoonacular <b>score of 53%</b>, this dish is solid. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/zucchini-pizza-boats-1412015"">Zucchini Pizza Boats</a>, <a href=""https://spoonacular.com/recipes/zucchini-pizza-boats-1497223"">Zucchini Pizza Boats</a>, and <a href=""https://spoonacular.com/recipes/zucchini-pizza-boats-1125157"">Zucchini Pizza Boats</a>."	https://www.foodista.com/recipe/5N8Z8MR8/zucchini-pizza-boats	Non-Vegetarian
7	Pepperoni Pizza Muffins	"Pepperoni Pizza Muffins. Pepperoni Pizza Muffins might be just the <b>Mediterranean</b> recipe you are searching for. This recipe serves 6. One portion of this dish contains approximately <b>10g of protein</b>, <b>19g of fat</b>, and a total of <b>304 calories</b>. For <b>60 cents per serving</b>, this recipe <b>covers 10%</b> of your daily requirements of vitamins and minerals. If you have garlic powder - ½ 2ml, salt - ½ 2ml, cheese - ⅔ 150ml, and a few other ingredients on hand, you can make it. This recipe is liked by 1 foodies and cooks. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. It works well as a breakfast. It is brought to you by Foodista. With a spoonacular <b>score of 29%</b>, this dish is not so awesome. Try <a href=""https://spoonacular.com/recipes/pepperoni-pizza-muffins-390711"">Pepperoni Pizza Muffins</a>, <a href=""https://spoonacular.com/recipes/pepperoni-pizza-muffins-519589"">Pepperoni Pizza Muffins</a>, and <a href=""https://spoonacular.com/recipes/pepperoni-pizza-made-with-a-hash-brown-pizza-crust-532205"">Pepperoni Pizza Made with a Hash Brown Pizza Crust</a> for similar recipes."	https://www.foodista.com/recipe/ZBB4CYW8/pepperoni-pizza-muffins	Non-Vegetarian
8	Easy Cheesy Pizza Casserole	"Easy Cheesy Pizza Casserole. You can never have too many Mediterranean recipes, so give Easy Cheesy Pizza Casserole a try. This main course has <b>902 calories</b>, <b>57g of protein</b>, and <b>55g of fat</b> per serving. For <b>$3.95 per serving</b>, this recipe <b>covers 37%</b> of your daily requirements of vitamins and minerals. This recipe serves 6. <b>Autumn</b> will be even more special with this recipe. 181 person were impressed by this recipe. From preparation to the plate, this recipe takes around <b>45 minutes</b>. This recipe from Foodista requires equivalent amount of a ground beef/bulk sausage mix, milk, oregano, and pepperoni. Taking all factors into account, this recipe <b>earns a spoonacular score of 83%</b>, which is spectacular. <a href=""https://spoonacular.com/recipes/easy-cheesy-pizza-casserole-1567971"">Easy Cheesy Pizza Casserole</a>, <a href=""https://spoonacular.com/recipes/cheesy-pizza-casserole-166010"">Cheesy Pizza Casserole</a>, and <a href=""https://spoonacular.com/recipes/20-minute-cheesy-pizza-casserole-1279595"">20 Minute Cheesy Pizza Casserole</a> are very similar to this recipe."	https://www.foodista.com/recipe/ZTHZWCWF/easy-cheesy-pizza-casserole	Non-Vegetarian
9	Paneer & Fig Pizza	"Paneer & Fig Pizza. Paneer & Fig Pizzan is a Mediterranean main course. One portion of this dish contains about <b>16g of protein</b>, <b>23g of fat</b>, and a total of <b>363 calories</b>. This recipe serves 4. For <b>$3.23 per serving</b>, this recipe <b>covers 8%</b> of your daily requirements of vitamins and minerals. Only a few people made this recipe, and 1 would say it hit the spot. This recipe from Foodista requires ricotta cheese, pizza dough, ground pepper, and salt. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. With a spoonacular <b>score of 30%</b>, this dish is not so super. Try <a href=""https://spoonacular.com/recipes/indian-style-paneer-pizza-578239"">Indian style paneer pizza</a>, <a href=""https://spoonacular.com/recipes/fig-and-prosciutto-pizza-8977"">Fig and Prosciutto Pizza</a>, and <a href=""https://spoonacular.com/recipes/fig-and-prosciutto-pizza-57130"">Fig And Prosciutto Pizza</a> for similar recipes."	https://www.foodista.com/recipe/4FXMWQVY/paneer-fig-pizza	Non-Vegetarian
10	Pesto Veggie Pizza	"Pesto Veggie Pizza. Pesto Veggie Pizza requires about <b>45 minutes</b> from start to finish. This recipe serves 4 and costs $2.62 per serving. One serving contains <b>826 calories</b>, <b>32g of protein</b>, and <b>37g of fat</b>. A mixture of flour, tsp garlic powder, olives, and a handful of other ingredients are all it takes to make this recipe so yummy. This recipe is liked by 1 foodies and cooks. It is brought to you by Foodista. Only a few people really liked this Mediterranean dish. It works well as a main course. With a spoonacular <b>score of 77%</b>, this dish is solid. Similar recipes are <a href=""https://spoonacular.com/recipes/veggie-pesto-pizza-587162"">Veggie Pesto Pizza</a>, <a href=""https://spoonacular.com/recipes/pesto-veggie-pizza-370334"">Pesto Veggie Pizza</a>, and <a href=""https://spoonacular.com/recipes/veggie-pesto-pizza-1365663"">Veggie Pesto Pizza</a>."	https://www.foodista.com/recipe/VZQSY22T/pesto-veggie-pizza	Non-Vegetarian
11	Mini eggplant pizza	"Mini eggplant pizza. If you want to add more <b>Mediterranean</b> recipes to your repertoire, Mini eggplant pizza might be a recipe you should try. For <b>81 cents per serving</b>, you get a hor d'oeuvre that serves 3. One serving contains <b>325 calories</b>, <b>11g of protein</b>, and <b>31g of fat</b>. From preparation to the plate, this recipe takes around <b>45 minutes</b>. It is a good option if you're following a <b>gluten free and primal</b> diet. Head to the store and pick up olive oil, sea salt, pepperoni, and a few other things to make it today. It is brought to you by Foodista. 1 person were glad they tried this recipe. Overall, this recipe earns a <b>not so great spoonacular score of 23%</b>. Try <a href=""https://spoonacular.com/recipes/mini-eggplant-parmesan-331709"">Mini Eggplant Parmesan</a>, <a href=""https://spoonacular.com/recipes/mini-eggplant-crust-pizzas-103649"">Mini Eggplant Crust Pizzas</a>, and <a href=""https://spoonacular.com/recipes/mini-eggplant-parm-roasted-cherry-tomato-basil-pesto-751511"">Mini Eggplant Parm, Roasted Cherry Tomato, Basil Pesto</a> for similar recipes."	https://www.foodista.com/recipe/2R5MSMN3/mini-eggplant-pizza	Non-Vegetarian
12	Butternut Squash Pizza	"Butternut Squash Pizza. The recipe Butternut Squash Pizza can be made <b>in roughly 45 minutes</b>. This main course has <b>925 calories</b>, <b>46g of protein</b>, and <b>51g of fat</b> per serving. This recipe serves 4 and costs $4.76 per serving. This recipe is typical of Mediterranean cuisine. A mixture of mozzarella cheese, roasted butternut squash, pine nuts, and a handful of other ingredients are all it takes to make this recipe so scrumptious. 2 people have made this recipe and would make it again. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 61%</b>. This score is solid. Similar recipes are <a href=""https://spoonacular.com/recipes/2ways2percent-butternut-squash-pizza-and-creamy-butternut-squash-puree-with-scallops-and-bacon-620004"">2ways2percent: Butternut Squash Pizzan and Creamy Butternut Squash Puree with Scallops and Bacon</a>, <a href=""https://spoonacular.com/recipes/2ways2percent-butternut-squash-pizza-and-creamy-butternut-squash-puree-with-scallops-and-bacon-1396583"">2ways2percent: Butternut Squash Pizzan and Creamy Butternut Squash Puree with Scallops and Bacon</a>, and <a href=""https://spoonacular.com/recipes/butternut-squash-pizza-506258"">Butternut Squash Pizza</a>."	https://www.foodista.com/recipe/7ZRQJMW4/butternut-squash-pizza	Non-Vegetarian
13	summer vegetable pizza	"summer vegetable pizza. You can never have too many Mediterranean recipes, so give summer vegetable pizzan a try. One portion of this dish contains roughly <b>27g of protein</b>, <b>20g of fat</b>, and a total of <b>614 calories</b>. This recipe serves 4 and costs $4.01 per serving. This recipe is liked by 2 foodies and cooks. This recipe from Foodista requires pepper, onion, thyme, and eggplant. It works best as a main course, and is done in roughly <b>45 minutes</b>. <b>The Fourth Of July</b> will be even more special with this recipe. Overall, this recipe earns a <b>good spoonacular score of 69%</b>. Try <a href=""https://spoonacular.com/recipes/summer-grilled-vegetable-pizza-241631"">Summer Grilled Vegetable Pizza</a>, <a href=""https://spoonacular.com/recipes/summer-vegetable-pizza-with-a-cauliflower-crust-604011"">Summer Vegetable Pizza with a Cauliflower Crust</a>, and <a href=""https://spoonacular.com/recipes/summer-time-vegetable-pizza-pie-511390"">Summer Time Vegetable Pizza Pie</a> for similar recipes."	https://www.foodista.com/recipe/H4FD2GWH/summer-vegetable-pizza	Non-Vegetarian
14	Stilton Balsamic Pizza	"Stilton Balsamic Pizza. Stilton Balsamic Pizzan is a Mediterranean hor d'oeuvre. This recipe makes 24 servings with <b>62 calories</b>, <b>2g of protein</b>, and <b>2g of fat</b> each. For <b>30 cents per serving</b>, this recipe <b>covers 1%</b> of your daily requirements of vitamins and minerals. It is brought to you by Foodista. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. This recipe is liked by 1 foodies and cooks. Head to the store and pick up reduced balsamic vinegar, wedge of stilton cheese, virgin olive oil, and a few other things to make it today. Taking all factors into account, this recipe <b>earns a spoonacular score of 10%</b>, which is rather bad. Try <a href=""https://spoonacular.com/recipes/blackberry-and-balsamic-pizza-1265799"">Blackberry and Balsamic Pizza</a>, <a href=""https://spoonacular.com/recipes/blackberry-and-balsamic-pizza-824717"">Blackberry and Balsamic Pizza</a>, and <a href=""https://spoonacular.com/recipes/summer-peach-and-balsamic-pizza-78840"">Summer Peach And Balsamic Pizza</a> for similar recipes."	https://www.foodista.com/recipe/SBP43RW2/stilton-balsamic-pizza	Non-Vegetarian
15	Tomato and Bacon Pizza With Rice Crust	"Tomato and Bacon Pizza With Rice Crust. Tomato and Bacon Pizza With Rice Crust is a hor d'oeuvre that serves 8. One serving contains <b>163 calories</b>, <b>9g of protein</b>, and <b>7g of fat</b>. For <b>81 cents per serving</b>, this recipe <b>covers 10%</b> of your daily requirements of vitamins and minerals. 3 people have tried and liked this recipe. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. This recipe from Foodista requires bell pepper, tomatoes, egg, and mozzarella cheese. Not a lot of people really liked this Mediterranean dish. It is a good option if you're following a <b>gluten free</b> diet. With a spoonacular <b>score of 52%</b>, this dish is pretty good. Similar recipes include <a href=""https://spoonacular.com/recipes/tomato-and-bacon-pizza-with-rice-crust-1409167"">Tomato and Bacon Pizza With Rice Crust</a>, <a href=""https://spoonacular.com/recipes/thin-crust-bacon-cheeseburger-pizza-629505"">Thin Crust Bacon Cheeseburger Pizza</a>, and <a href=""https://spoonacular.com/recipes/cauliflower-crust-bacon-and-egg-pizza-1350333"">Cauliflower Crust Bacon and Egg Pizza</a>."	https://www.foodista.com/recipe/RB57HRNX/tomato-and-bacon-pizza-with-rice-crust	Non-Vegetarian
16	Goat Cheese Pesto Pizza	"Goat Cheese Pesto Pizza. Goat Cheese Pesto Pizza might be a good recipe to expand your main course repertoire. One serving contains <b>517 calories</b>, <b>12g of protein</b>, and <b>28g of fat</b>. This recipe serves 4. For <b>$2.28 per serving</b>, this recipe <b>covers 5%</b> of your daily requirements of vitamins and minerals. 1 person were impressed by this recipe. It is a <b>rather cheap</b> recipe for fans of Mediterranean food. Head to the store and pick up pizza shell, pesto, tomatoes, and a few other things to make it today. From preparation to the plate, this recipe takes about <b>45 minutes</b>. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 25%</b>, which is rather bad. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/goat-cheese-pesto-pizza-1540119"">Goat Cheese Pesto Pizza</a>, <a href=""https://spoonacular.com/recipes/fig-and-goat-cheese-pizza-with-pesto-642777"">Fig and Goat Cheese Pizza With Pesto</a>, and <a href=""https://spoonacular.com/recipes/pesto-goat-cheese-pizza-gluten-free-593060"">Pesto & Goat Cheese Pizza {gluten free}</a>."	https://www.foodista.com/recipe/NYLVT4DN/goat-cheese-pesto-pizza	Non-Vegetarian
17	Fig and Goat Cheese Pizza With Pesto	"Fig and Goat Cheese Pizza With Pesto. Forget going out to eat or ordering takeout every time you crave Mediterranean food. Try making Fig and Goat Cheese Pizza With Pesto at home. This main course has <b>501 calories</b>, <b>14g of protein</b>, and <b>28g of fat</b> per serving. This lacto ovo vegetarian recipe serves 6 and costs <b>$2.76 per serving</b>. 1 person found this recipe to be flavorful and satisfying. If you have pesto, goat cheese, naan bread, and a few other ingredients on hand, you can make it. It is brought to you by Foodista. From preparation to the plate, this recipe takes approximately <b>15 minutes</b>. Overall, this recipe earns a <b>rather bad spoonacular score of 24%</b>. Similar recipes include <a href=""https://spoonacular.com/recipes/fig-and-goat-cheese-pizza-533256"">Fig and Goat Cheese Pizza</a>, <a href=""https://spoonacular.com/recipes/rustic-fig-and-goat-cheese-pizza-57115"">Rustic Fig And Goat Cheese Pizza</a>, and <a href=""https://spoonacular.com/recipes/fig-prosciutto-and-goat-cheese-pizza-498241"">Fig, Prosciutto, and Goat Cheese Pizza</a>."	https://www.foodista.com/recipe/KFX4GS4M/fig-and-goat-cheese-pizza-with-pesto	Vegetarian
18	Homemade Thin Crust Pizza + Pesto + Potato	"Homemade Thin Crust Pizza + Pesto + Potato. If you want to add more <b>Mediterranean</b> recipes to your recipe box, Homemade Thin Crust Pizza + Pesto + Potato might be a recipe you should try. This recipe makes 6 servings with <b>515 calories</b>, <b>16g of protein</b>, and <b>19g of fat</b> each. For <b>$2.0 per serving</b>, this recipe <b>covers 30%</b> of your daily requirements of vitamins and minerals. Head to the store and pick up water, basil, manchego cheese, and a few other things to make it today. This recipe is liked by 1 foodies and cooks. Not a lot of people really liked this main course. It is brought to you by Foodista. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 85%</b>. This score is excellent. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/thin-crust-pizza-507446"">Thin Crust Pizza</a>, <a href=""https://spoonacular.com/recipes/thin-crust-pizza-1312483"">Thin Crust Pizza</a>, and <a href=""https://spoonacular.com/recipes/explorers-thin-crust-pizza-103580"">Explorers Thin Crust Pizza</a>."	https://www.foodista.com/recipe/X27TPBXD/homemade-thin-crust-pizza-pesto-potato	Non-Vegetarian
19	Multigrain Tandoori Pizza With Paneer Tikka	"Multigrain Tandoori Pizza With Paneer Tikka. Multigrain Tandoori Pizza With Paneer Tikkan is a main course that serves 2. One serving contains <b>505 calories</b>, <b>22g of protein</b>, and <b>33g of fat</b>. For <b>$4.05 per serving</b>, this recipe <b>covers 8%</b> of your daily requirements of vitamins and minerals. It is brought to you by Foodista. From preparation to the plate, this recipe takes around <b>45 minutes</b>. If you have salt, paneer: g, parsley: few sprigs, and a few other ingredients on hand, you can make it. 1 person found this recipe to be scrumptious and satisfying. It is a <b>pretty expensive</b> recipe for fans of Mediterranean food. Taking all factors into account, this recipe <b>earns a spoonacular score of 15%</b>, which is not so super. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/tandoori-paneer-tikka-in-oven-restaurant-style-487822"">Tandoori Paneer Tikkan in Oven (Restaurant Style)</a>, <a href=""https://spoonacular.com/recipes/paneer-tikka-masala-sanjeev-kapoor-how-to-make-paneer-tikka-masala-630787"">paneer tikka masala (sanjeev kapoor), how to make paneer tikka masala</a>, and <a href=""https://spoonacular.com/recipes/paneer-tikka-masala-sanjeev-kapoor-how-to-make-paneer-tikka-masala-1198259"">paneer tikka masala (sanjeev kapoor), how to make paneer tikka masala</a>."	https://www.foodista.com/recipe/363LNF4Q/multigrain-tandoori-pizza-with-paneer-tikka	Non-Vegetarian
